Frequency (Hz),Ne10 MDCT f32 spectrum,FFTW3 f32 spectrum,Ref MDCT spectrum
46.875,1.57679,1.57679,1.57679
93.75,0.975911,0.975911,0.97591
140.625,3.4339,3.4339,3.4339
187.5,0.475146,0.475146,0.475147
234.375,26.2964,26.2964,26.2964
281.25,0.822944,0.822944,0.822932
328.125,2.7669,2.7669,2.76691
375,0.59551,0.59551,0.595509
421.875,1.4668,1.4668,1.4668
468.75,0.491387,0.491387,0.491387
515.625,0.999702,0.999702,0.999707
562.5,0.422205,0.422206,0.422206
609.375,0.758911,0.758911,0.758912
656.25,0.371251,0.371251,0.371248
703.125,0.611903,0.611903,0.611902
750,0.331721,0.331721,0.331721
796.875,0.512764,0.512764,0.512764
843.75,0.300009,0.300009,0.300005
890.625,0.441361,0.441361,0.441362
937.5,0.273943,0.273943,0.273941
984.375,0.387471,0.387471,0.387472
1031.25,0.25211,0.25211,0.25211
1078.12,0.345348,0.345348,0.345348
1125,0.233543,0.233543,0.23354
1171.88,0.311513,0.311513,0.311513
1218.75,0.217552,0.217552,0.217546
1265.62,0.283738,0.283738,0.283737
1312.5,0.20363,0.203631,0.203623
1359.38,0.260529,0.260529,0.260532
1406.25,0.191402,0.191402,0.191399
1453.12,0.240842,0.240842,0.240846
1500,0.18057,0.18057,0.180568
1546.88,0.223934,0.223934,0.223943
1593.75,0.17091,0.17091,0.170908
1640.62,0.209255,0.209255,0.209255
1687.5,0.16224,0.16224,0.162236
1734.38,0.196391,0.19639,0.196395
1781.25,0.154415,0.154415,0.154412
1828.12,0.185025,0.185025,0.185021
1875,0.147318,0.147318,0.147315
1921.88,0.17491,0.17491,0.17491
1968.75,0.140851,0.140851,0.140848
2015.62,0.165851,0.165851,0.165849
2062.5,0.134934,0.134934,0.134932
2109.38,0.157691,0.157691,0.157692
2156.25,0.129499,0.129499,0.129497
2203.12,0.150302,0.150302,0.150304
2250,0.12449,0.12449,0.124483
2296.88,0.14358,0.14358,0.143581
2343.75,0.11986,0.11986,0.119862
2390.62,0.137439,0.137439,0.137444
2437.5,0.115566,0.115566,0.115568
2484.38,0.131807,0.131807,0.131804
2531.25,0.111574,0.111574,0.111572
2578.12,0.126623,0.126623,0.126623
2625,0.107853,0.107852,0.107841
2671.88,0.121836,0.121836,0.121837
2718.75,0.104375,0.104375,0.10434
2765.62,0.117403,0.117403,0.117402
2812.5,0.101119,0.101119,0.101112
2859.38,0.113286,0.113285,0.113286
2906.25,0.0980643,0.0980642,0.0980642
2953.12,0.10945,0.10945,0.109453
3000,0.095192,0.095192,0.0951967
3046.88,0.105871,0.105871,0.105881
3093.75,0.0924861,0.0924862,0.0924851
3140.62,0.102521,0.102521,0.102521
3187.5,0.0899342,0.0899341,0.0899338
3234.38,0.0993817,0.0993817,0.0993956
3281.25,0.087522,0.0875219,0.0875192
3328.12,0.096432,0.0964319,0.0964283
3375,0.0852392,0.0852391,0.0852615
3421.88,0.0936558,0.0936558,0.0936582
3468.75,0.0830754,0.0830753,0.0830787
3515.62,0.0910385,0.0910384,0.0910409
3562.5,0.0810217,0.0810219,0.0810308
3609.38,0.0885664,0.0885666,0.0885685
3656.25,0.0790704,0.0790705,0.0790712
3703.12,0.0862291,0.0862291,0.0862249
3750,0.0772139,0.0772139,0.07721
3796.88,0.0840143,0.0840143,0.0840173
3843.75,0.0754449,0.0754449,0.0754449
3890.62,0.0819138,0.0819138,0.0819168
3937.5,0.0737585,0.0737585,0.0737608
3984.38,0.0799183,0.079918,0.0799196
4031.25,0.0721478,0.0721477,0.0721466
4078.12,0.0780212,0.0780212,0.0780317
4125,0.0706091,0.0706091,0.0706295
4171.88,0.0762148,0.0762148,0.0762131
4218.75,0.0691369,0.069137,0.0691448
4265.62,0.0744925,0.0744925,0.0744969
4312.5,0.0677281,0.0677277,0.0677234
4359.38,0.0728498,0.0728497,0.0728124
4406.25,0.0663773,0.0663773,0.0663781
4453.12,0.0712798,0.0712798,0.0712814
4500,0.0650818,0.0650818,0.0650846
4546.88,0.069779,0.069779,0.0697822
4593.75,0.0638384,0.0638383,0.0638364
4640.62,0.0683427,0.0683428,0.0683483
4687.5,0.062644,0.062644,0.0626425
4734.38,0.0669669,0.0669669,0.0669698
4781.25,0.0614957,0.0614957,0.0615102
4828.12,0.0656476,0.0656476,0.0656532
4875,0.0603911,0.0603911,0.0603887
4921.88,0.0643815,0.0643815,0.0643844
4968.75,0.0593276,0.0593276,0.0593227
5015.62,0.0631659,0.0631659,0.0631611
5062.5,0.0583029,0.058303,0.0583007
5109.38,0.0619981,0.061998,0.0620063
5156.25,0.0573154,0.0573154,0.0573134
5203.12,0.0608743,0.0608744,0.0608757
5250,0.0563629,0.0563629,0.0563611
5296.88,0.059793,0.059793,0.0597919
5343.75,0.0554434,0.0554434,0.0554457
5390.62,0.0587517,0.0587517,0.0587571
5437.5,0.0545559,0.0545559,0.054554
5484.38,0.0577478,0.0577477,0.057741
5531.25,0.0536976,0.0536976,0.0536923
5578.12,0.0567801,0.05678,0.0567831
5625,0.0528683,0.0528684,0.0528776
5671.88,0.0558462,0.0558462,0.0558341
5718.75,0.0520662,0.0520662,0.0520649
5765.62,0.0549445,0.0549446,0.054951
5812.5,0.0512891,0.05129,0.051288
5859.38,0.0540739,0.0540739,0.0540837
5906.25,0.0505383,0.0505383,0.050536
5953.12,0.0532319,0.0532319,0.0532313
6000,0.0498101,0.0498101,0.0498084
6046.88,0.052418,0.052418,0.0524172
6093.75,0.0491047,0.0491048,0.0490991
6140.62,0.0516303,0.0516304,0.0516312
6187.5,0.0484204,0.0484206,0.0484142
6234.38,0.0508688,0.0508678,0.050868
6281.25,0.0477572,0.0477573,0.0477699
6328.12,0.0501297,0.0501297,0.0501393
6375,0.0471134,0.0471134,0.0470981
6421.88,0.0494145,0.0494144,0.0494127
6468.75,0.0464885,0.0464886,0.0464884
6515.62,0.0487208,0.0487209,0.0487228
6562.5,0.045881,0.0458811,0.0459279
6609.38,0.0480492,0.0480492,0.0480551
6656.25,0.0452922,0.0452923,0.0452721
6703.12,0.0473964,0.0473964,0.0473954
6750,0.0447195,0.0447195,0.0447175
6796.88,0.0467633,0.0467632,0.0467455
6843.75,0.0441622,0.0441622,0.0441619
6890.62,0.0461487,0.0461486,0.0461587
6937.5,0.0436214,0.0436214,0.0435991
6984.38,0.0455505,0.0455505,0.0455945
7031.25,0.0430936,0.0430936,0.0431079
7078.12,0.0449713,0.0449713,0.0449665
7125,0.0425813,0.0425813,0.0425732
7171.88,0.0444072,0.0444072,0.0444018
7218.75,0.0420823,0.0420823,0.0420789
7265.62,0.0438586,0.0438587,0.0438666
7312.5,0.0415957,0.0415959,0.0415789
7359.38,0.0433254,0.0433253,0.0433274
7406.25,0.0411227,0.0411227,0.0411255
7453.12,0.0428068,0.0428068,0.0428377
7500,0.0406615,0.0406615,0.0406583
7546.88,0.0423019,0.0423019,0.042301
7593.75,0.0402122,0.0402123,0.0402109
7640.62,0.0418101,0.0418101,0.0418178
7687.5,0.039774,0.039774,0.0397591
7734.38,0.0413311,0.0413312,0.0413358
7781.25,0.0393469,0.0393469,0.0393452
7828.12,0.0408643,0.0408643,0.0408627
7875,0.0389297,0.0389297,0.0389284
7921.88,0.0404103,0.0404103,0.0404141
7968.75,0.0385231,0.0385231,0.0385185
8015.62,0.0399691,0.0399691,0.0399672
8062.5,0.0381303,0.0381304,0.0381352
8109.38,0.0395324,0.0395323,0.0395406
