Frequency (Hz),Ne10 MDCT i32 plain C spectrum,Ref MDCT spectrum
46.875,51665,51667
93.75,31967,31978
140.625,18587,112519
187.5,15570,15569
234.375,55942,861662
281.25,26959,26965
328.125,40442,90664
375,19511,19513
421.875,48066,48063
468.75,16097,16101
515.625,32748,32758
562.5,13835,13833
609.375,24868,24868
656.25,12162,12167
703.125,20045,20051
750,10870,10870
796.875,16802,16802
843.75,9827,9831
890.625,14459,14463
937.5,8979,8976
984.375,12698,12698
1031.25,8257,8260
1078.12,11313,11316
1125,7649,7652
1171.88,10205,10207
1218.75,7126,7128
1265.62,9295,9297
1312.5,6674,6672
1359.38,8536,8537
1406.25,6268,6267
1453.12,7889,7891
1500,5920,5918
1546.88,7340,7338
1593.75,5597,5601
1640.62,6852,6857
1687.5,5315,5316
1734.38,6435,6435
1781.25,5056,5060
1828.12,6059,6060
1875,4825,4827
1921.88,5729,5731
1968.75,4613,4615
2015.62,5435,5435
2062.5,4426,4421
2109.38,5166,5167
2156.25,4244,4243
2203.12,4921,4925
2250,4080,4080
2296.88,4704,4705
2343.75,3928,3928
2390.62,4504,4504
2437.5,3788,3787
2484.38,4322,4319
2531.25,3652,3656
2578.12,4148,4149
2625,3538,3534
2671.88,3995,3992
2718.75,3417,3420
2765.62,3850,3847
2812.5,3311,3313
2859.38,3710,3712
2906.25,3213,3213
2953.12,3586,3587
3000,3118,3117
3046.88,3467,3468
3093.75,3026,3031
3140.62,3357,3359
3187.5,2943,2947
3234.38,3256,3256
3281.25,2866,2868
3328.12,3160,3160
3375,2795,2793
3421.88,3069,3068
3468.75,2720,2722
3515.62,2983,2983
3562.5,2655,2655
3609.38,2904,2902
3656.25,2591,2591
3703.12,2825,2825
3750,2533,2530
3796.88,2752,2753
3843.75,2472,2472
3890.62,2682,2684
3937.5,2413,2417
3984.38,2618,2619
4031.25,2360,2364
4078.12,2555,2557
4125,2315,2314
4171.88,2496,2497
4218.75,2260,2264
4265.62,2441,2441
4312.5,2220,2219
4359.38,2389,2387
4406.25,2174,2175
4453.12,2335,2336
4500,2136,2132
4546.88,2289,2287
4593.75,2089,2091
4640.62,2237,2238
4687.5,2053,2053
4734.38,2193,2194
4781.25,2014,2015
4828.12,2152,2151
4875,1980,1979
4921.88,2109,2110
4968.75,1940,1944
5015.62,2069,2070
5062.5,1909,1910
5109.38,2032,2032
5156.25,1875,1878
5203.12,1998,1995
5250,1844,1847
5296.88,1960,1959
5343.75,1818,1817
5390.62,1922,1926
5437.5,1790,1789
5484.38,1894,1892
5531.25,1755,1760
5578.12,1862,1860
5625,1734,1732
5671.88,1826,1830
5718.75,1703,1706
5765.62,1800,1800
5812.5,1673,1678
5859.38,1774,1772
5906.25,1657,1656
5953.12,1746,1744
6000,1634,1632
6046.88,1719,1718
6093.75,1608,1609
6140.62,1692,1692
6187.5,1586,1586
6234.38,1663,1664
6281.25,1561,1565
6328.12,1642,1642
6375,1544,1544
6421.88,1621,1619
6468.75,1523,1523
6515.62,1597,1596
6562.5,1505,1504
6609.38,1578,1575
6656.25,1484,1484
6703.12,1555,1553
6750,1461,1465
6796.88,1528,1532
6843.75,1443,1447
6890.62,1511,1512
6937.5,1430,1429
6984.38,1495,1493
7031.25,1413,1413
7078.12,1472,1473
7125,1395,1395
7171.88,1454,1455
7218.75,1381,1379
7265.62,1437,1437
7312.5,1363,1363
7359.38,1423,1420
7406.25,1348,1347
7453.12,1403,1403
7500,1332,1332
7546.88,1386,1386
7593.75,1317,1318
7640.62,1371,1370
7687.5,1302,1303
7734.38,1354,1354
7781.25,1290,1289
7828.12,1341,1341
7875,1277,1276
7921.88,1324,1324
7968.75,1260,1262
8015.62,1308,1310
8062.5,1254,1249
8109.38,1294,1295
8156.25,1234,1236
8203.12,1281,1282
8250,1224,1225
8296.88,1267,1268
8343.75,1212,1212
8390.62,1255,1255
8437.5,1201,1200
8484.38,1243,1242
8531.25,1186,1189
8578.12,1233,1230
8625,1180,1177
8671.88,1218,1217
8718.75,1166,1167
8765.62,1204,1205
8812.5,1157,1156
8859.38,1196,1194
8906.25,1146,1145
8953.12,1184,1182
9000,1138,1136
9046.88,1172,1171
9093.75,1125,1125
9140.62,1161,1160
9187.5,1116,1115
9234.38,1151,1150
9281.25,1102,1105
9328.12,1136,1139
9375,1099,1096
9421.88,1129,1131
9468.75,1087,1087
9515.62,1120,1119
9562.5,1075,1078
9609.38,1110,1109
9656.25,1070,1069
9703.12,1098,1100
9750,1059,1060
9796.88,1088,1090
9843.75,1051,1050
9890.62,1086,1082
9937.5,1042,1043
9984.38,1074,1073
10031.2,1036,1035
10078.1,1059,1064
10125,1024,1027
10171.9,1054,1055
10218.8,1016,1018
10265.6,1049,1047
10312.5,1013,1011
10359.4,1039,1039
10406.2,1005,1004
10453.1,1029,1031
10500,996,996
10546.9,1026,1023
10593.8,991,988
10640.6,1011,1014
10687.5,986,983
10734.4,1011,1007
10781.2,977,976
10828.1,1003,1000
10875,967,969
10921.9,992,993
10968.8,961,962
11015.6,985,984
11062.5,955,956
11109.4,975,979
11156.2,945,949
11203.1,969,972
11250,940,943
11296.9,966,965
11343.8,936,936
11390.6,959,959
11437.5,931,932
11484.4,951,952
11531.2,922,925
11578.1,947,945
11625,917,919
11671.9,941,939
11718.8,913,913
11765.6,934,933
11812.5,907,909
11859.4,927,927
11906.2,899,902
11953.1,919,921
12000,897,896
12046.9,916,915
12093.8,891,891
12140.6,908,909
12187.5,882,886
12234.4,907,905
