time (ms),signal in,signal out,frequency (Hz),spectrum
0,0,-0.652837,46.875,1.57679,
0.0208333,0.0235593,-0.612837,93.75,0.975911,
0.0416667,0.0471024,-0.572417,140.625,3.4339,
0.0625,0.0706132,-0.531604,187.5,0.475146,
0.0833333,0.0940756,-0.490428,234.375,26.2964,
0.104167,0.117474,-0.448915,281.25,0.822944,
0.125,0.140791,-0.407094,328.125,2.7669,
0.145833,0.164012,-0.364995,375,0.59551,
0.166667,0.187121,-0.322645,421.875,1.4668,
0.1875,0.210101,-0.280074,468.75,0.491387,
0.208333,0.232937,-0.237312,515.625,0.999702,
0.229167,0.255614,-0.194386,562.5,0.422206,
0.25,0.278115,-0.151328,609.375,0.758911,
0.270833,0.300426,-0.108166,656.25,0.371251,
0.291667,0.322531,-0.0649289,703.125,0.611903,
0.3125,0.344415,-0.0216485,750,0.331721,
0.333333,0.366063,0.0216475,796.875,0.512764,
0.354167,0.38746,0.0649287,843.75,0.300009,
0.375,0.408591,0.108165,890.625,0.441361,
0.395833,0.429443,0.151327,937.5,0.273943,
0.416667,0.45,0.194386,984.375,0.387471,
0.4375,0.470249,0.237311,1031.25,0.25211,
0.458333,0.490175,0.280074,1078.12,0.345348,
0.479167,0.509766,0.322645,1125,0.233543,
0.5,0.529007,0.364994,1171.88,0.311513,
0.520833,0.547885,0.407094,1218.75,0.217552,
0.541667,0.566388,0.448915,1265.62,0.283738,
0.5625,0.584503,0.490427,1312.5,0.203631,
0.583333,0.602218,0.531604,1359.38,0.260529,
0.604167,0.619519,0.572417,1406.25,0.191402,
0.625,0.636396,0.612836,1453.12,0.240842,
0.645833,0.652837,0.652837,1500,0.18057,
0.666667,0.66883,0.69239,1546.88,0.223934,
0.6875,0.684365,0.731467,1593.75,0.17091,
0.708333,0.699431,0.770044,1640.62,0.209255,
0.729167,0.714018,0.808094,1687.5,0.16224,
0.75,0.728115,0.845588,1734.38,0.19639,
0.770833,0.741714,0.882504,1781.25,0.154415,
0.791667,0.754804,0.918815,1828.12,0.185025,
0.8125,0.767376,0.954496,1875,0.147318,
0.833333,0.779423,0.989523,1921.88,0.17491,
0.854167,0.790935,1.02387,1968.75,0.140851,
0.875,0.801906,1.05752,2015.62,0.165851,
0.895833,0.812327,1.09044,2062.5,0.134934,
0.916667,0.822191,1.12262,2109.38,0.157691,
0.9375,0.831492,1.15402,2156.25,0.129499,
0.958333,0.840222,1.18464,2203.12,0.150302,
0.979167,0.848377,1.21444,2250,0.12449,
1,0.855951,1.24341,2296.88,0.14358,
1.02083,0.862938,1.27153,2343.75,0.11986,
1.04167,0.869333,1.29878,2390.62,0.137439,
1.0625,0.875133,1.32513,2437.5,0.115566,
1.08333,0.880333,1.35058,2484.38,0.131807,
1.10417,0.884929,1.3751,2531.25,0.111574,
1.125,0.88892,1.39868,2578.12,0.126623,
1.14583,0.8923,1.42131,2625,0.107852,
1.16667,0.89507,1.44295,2671.88,0.121836,
1.1875,0.897226,1.46361,2718.75,0.104375,
1.20833,0.898767,1.48327,2765.62,0.117403,
1.22917,0.899692,1.50191,2812.5,0.101119,
1.25,0.9,1.51952,2859.38,0.113285,
1.27083,0.899692,1.53609,2906.25,0.0980642,
1.29167,0.898767,1.5516,2953.12,0.10945,
1.3125,0.897226,1.56606,3000,0.095192,
1.33333,0.89507,1.57943,3046.88,0.105871,
1.35417,0.8923,1.59173,3093.75,0.0924862,
1.375,0.88892,1.60294,3140.62,0.102521,
1.39583,0.884929,1.61304,3187.5,0.0899341,
1.41667,0.880333,1.62205,3234.38,0.0993817,
1.4375,0.875133,1.62994,3281.25,0.0875219,
1.45833,0.869333,1.63671,3328.12,0.0964319,
1.47917,0.862938,1.64236,3375,0.0852391,
1.5,0.855951,1.64689,3421.88,0.0936558,
1.52083,0.848377,1.65028,3468.75,0.0830753,
1.54167,0.840222,1.65255,3515.62,0.0910384,
1.5625,0.831492,1.65368,3562.5,0.0810219,
1.58333,0.822191,1.65368,3609.38,0.0885666,
1.60417,0.812327,1.65255,3656.25,0.0790705,
1.625,0.801906,1.65028,3703.12,0.0862291,
1.64583,0.790935,1.64689,3750,0.0772139,
1.66667,0.779423,1.64236,3796.88,0.0840143,
1.6875,0.767376,1.63671,3843.75,0.0754449,
1.70833,0.754804,1.62994,3890.62,0.0819138,
1.72917,0.741714,1.62205,3937.5,0.0737585,
1.75,0.728115,1.61304,3984.38,0.079918,
1.77083,0.714018,1.60294,4031.25,0.0721477,
1.79167,0.699431,1.59173,4078.12,0.0780212,
1.8125,0.684365,1.57944,4125,0.0706091,
1.83333,0.66883,1.56606,4171.88,0.0762148,
1.85417,0.652837,1.5516,4218.75,0.069137,
1.875,0.636396,1.53609,4265.62,0.0744925,
1.89583,0.619519,1.51952,4312.5,0.0677277,
1.91667,0.602217,1.50191,4359.38,0.0728497,
1.9375,0.584503,1.48327,4406.25,0.0663773,
1.95833,0.566388,1.46361,4453.12,0.0712798,
1.97917,0.547885,1.44295,4500,0.0650818,
2,0.529007,1.42131,4546.88,0.069779,
2.02083,0.509766,1.39868,4593.75,0.0638383,
2.04167,0.490175,1.3751,4640.62,0.0683428,
2.0625,0.470249,1.35058,4687.5,0.062644,
2.08333,0.45,1.32513,4734.38,0.0669669,
2.10417,0.429443,1.29878,4781.25,0.0614957,
2.125,0.408591,1.27153,4828.12,0.0656476,
2.14583,0.38746,1.24341,4875,0.0603911,
2.16667,0.366063,1.21444,4921.88,0.0643815,
2.1875,0.344415,1.18464,4968.75,0.0593276,
2.20833,0.322531,1.15402,5015.62,0.0631659,
2.22917,0.300426,1.12262,5062.5,0.058303,
2.25,0.278115,1.09044,5109.38,0.061998,
2.27083,0.255614,1.05752,5156.25,0.0573154,
2.29167,0.232937,1.02387,5203.12,0.0608744,
2.3125,0.210101,0.989523,5250,0.0563629,
2.33333,0.18712,0.954497,5296.88,0.059793,
2.35417,0.164012,0.918815,5343.75,0.0554434,
