time (ms),signal (f64),signal (f32),signal (i16),multi amplitudes signal,multi frequencies signal,frequency (Hz),ref spectrum f64,ref spectrum f32,ref spectrum i32,FFTW3 spectrum f32,FFTW3 spectrum i32 (scaled to q15),Ne10 spectrum f32,Ne10 spectrum i32 c,Ne10 spectrum i32 neon,ref spectrum multi amplitudes,Ne10 spectrum multi amplitudes,ref spectrum multi frequencies,Ne10 spectrum multi frequencies,ref spectrum random,Ne10 spectrum random,ref spectrum with MLT,Ne10 spectrum with MLT,
0,0,0,0,0,0,93.75,0.233858,0.233859,7663,0.233859,7663,0.233859,7660,7661,8200,8199,6076,6076,995086,995007,14519,14517,
0.0208333,0.0518076,0.0518076,1697,1696,14001,187.5,0.322899,0.3229,10579,0.322899,10580,0.322899,10579,10580,8971,8970,6313,6313,232025,231993,16902,16901,
0.0416667,0.103443,0.103443,3389,3378,5930,281.25,0.526948,0.526949,17264,0.526949,17267,0.526949,17259,17260,11143,11141,6943,6943,135531,135522,23758,23753,
0.0625,0.154736,0.154736,5070,5032,10481,375,1.05905,1.05906,34701,1.05906,34703,1.05906,34704,34707,17972,17974,8853,8852,96100,96094,48179,48178,
0.0833333,0.205516,0.205516,6734,6645,3713,468.75,11.6137,11.6137,380550,11.6137,380558,11.6137,380502,380519,196795,196780,82275,82268,74522,74515,74127,74120,
0.104167,0.255614,0.255614,8375,8203,-1642,562.5,2.80259,2.80261,91833,2.8026,91835,2.8026,91818,91829,46689,46686,19477,19475,60883,60877,38213,38210,
0.125,0.304864,0.304864,9989,9694,13011,656.25,1.09112,1.09112,35752,1.09112,35753,1.09112,35745,35747,22991,22989,13049,13049,51475,51470,20175,20174,
0.145833,0.353103,0.353103,11570,11106,5357,750,0.705553,0.705553,23119,0.705554,23119,0.705554,23118,23118,24163,24159,16983,16979,44591,44589,13814,13812,
0.166667,0.400172,0.400172,13112,12429,282,843.75,0.531588,0.531589,17419,0.531589,17419,0.531589,17413,17416,49290,49288,38330,38329,39334,39330,10568,10568,
0.1875,0.445913,0.445913,14611,13651,3581,937.5,0.43116,0.431162,14128,0.431161,14128,0.431161,14126,14126,74520,74513,60226,60220,35189,35188,8600,8599,
0.208333,0.490175,0.490175,16062,14766,-4564,1031.25,0.365117,0.365115,11963,0.365118,11964,0.365118,11963,11964,18045,18045,14462,14462,31835,31830,7279,7279,
0.229167,0.532812,0.532812,17459,15765,11271,1125,0.31803,0.318032,10421,0.318031,10421,0.318031,10420,10421,9629,9626,7504,7503,29067,29067,6328,6326,
